DATE,CPIHOSNS
2001-01-01,174.100
2001-02-01,174.700
2001-03-01,175.400
2001-04-01,175.400
2001-05-01,175.900
2001-06-01,177.300
2001-07-01,177.600
2001-08-01,178.000
2001-09-01,177.400
2001-10-01,176.700
2001-11-01,176.900
2001-12-01,176.900
2002-01-01,177.600
2002-02-01,178.500
2002-03-01,179.100
2002-04-01,179.500
2002-05-01,179.700
2002-06-01,180.700
2002-07-01,181.200
2002-08-01,181.700
2002-09-01,181.500
2002-10-01,181.400
2002-11-01,181.200
2002-12-01,181.100
2003-01-01,182.300
2003-02-01,183.200
2003-03-01,184.300
2003-04-01,184.100
2003-05-01,184.500
2003-06-01,185.300
2003-07-01,185.900
2003-08-01,186.100
2003-09-01,185.800
2003-10-01,185.700
2003-11-01,185.100
2003-12-01,185.100
2004-01-01,186.300
2004-02-01,187.000
2004-03-01,187.900
2004-04-01,188.400
2004-05-01,188.900
2004-06-01,190.300
2004-07-01,190.900
2004-08-01,191.200
2004-09-01,191.000
2004-10-01,191.000
2004-11-01,190.800
2004-12-01,190.700
2005-01-01,191.800
2005-02-01,192.700
2005-03-01,194.100
2005-04-01,194.400
2005-05-01,194.500
2005-06-01,195.500
2005-07-01,196.600
2005-08-01,196.900
2005-09-01,197.000
2005-10-01,198.400
2005-11-01,198.500
2005-12-01,198.300
2006-01-01,200.000
2006-02-01,200.500
2006-03-01,201.300
2006-04-01,201.700
2006-05-01,202.200
2006-06-01,203.700
2006-07-01,204.700
2006-08-01,205.100
2006-09-01,205.000
2006-10-01,204.400
2006-11-01,204.500
2006-12-01,204.800
2007-01-01,206.057
2007-02-01,207.177
2007-03-01,208.080
2007-04-01,208.541
2007-05-01,208.902
2007-06-01,210.649
2007-07-01,211.286
2007-08-01,211.098
2007-09-01,210.865
2007-10-01,210.701
2007-11-01,210.745
2007-12-01,210.933
2008-01-01,212.244
2008-02-01,213.026
2008-03-01,214.389
2008-04-01,214.890
2008-05-01,215.809
2008-06-01,217.941
2008-07-01,219.610
2008-08-01,219.148
2008-09-01,218.184
2008-10-01,217.383
2008-11-01,216.467
2008-12-01,216.073
2009-01-01,216.928
2009-02-01,217.180
2009-03-01,217.374
2009-04-01,217.126
2009-05-01,216.971
2009-06-01,218.071
2009-07-01,218.085
2009-08-01,217.827
2009-09-01,217.178
2009-10-01,216.612
2009-11-01,215.808
2009-12-01,215.523
2010-01-01,215.925
2010-02-01,215.841
2010-03-01,216.023
2010-04-01,215.798
2010-05-01,215.981
2010-06-01,216.778
2010-07-01,217.076
2010-08-01,216.976
2010-09-01,216.602
2010-10-01,216.100
2010-11-01,215.830
2010-12-01,216.142
2011-01-01,216.739
2011-02-01,217.259
2011-03-01,217.707
2011-04-01,217.901
2011-05-01,218.484
2011-06-01,219.553
2011-07-01,220.230
2011-08-01,220.506
2011-09-01,220.540
2011-10-01,220.138
2011-11-01,219.969
2011-12-01,220.193
2012-01-01,220.805
2012-02-01,221.117
2012-03-01,221.487
2012-04-01,221.682
2012-05-01,221.971
2012-06-01,223.051
2012-07-01,223.316
2012-08-01,223.699
2012-09-01,223.901
2012-10-01,223.708
2012-11-01,223.814
2012-12-01,224.032
2013-01-01,224.790
2013-02-01,225.382
2013-03-01,225.643
2013-04-01,225.986
2013-05-01,226.896
2013-06-01,228.068
2013-07-01,228.374
2013-08-01,228.564
2013-09-01,228.808
2013-10-01,228.362
2013-11-01,228.449
2013-12-01,228.892
2014-01-01,230.256
2014-02-01,230.905
2014-03-01,231.968
2014-04-01,231.689
2014-05-01,232.744
2014-06-01,233.894
2014-07-01,234.475
2014-08-01,234.571
2014-09-01,234.675
2014-10-01,234.434
2014-11-01,234.315
2014-12-01,234.658
2015-01-01,235.485
2015-02-01,236.016
2015-03-01,236.435
2015-04-01,236.777
2015-05-01,237.175
2015-06-01,238.568
2015-07-01,239.085
2015-08-01,239.298
2015-09-01,239.651
2015-10-01,239.395
2015-11-01,239.325
2015-12-01,239.514
2016-01-01,240.424
2016-02-01,241.015
2016-03-01,241.485
2016-04-01,241.790
2016-05-01,242.811
2016-06-01,244.280
2016-07-01,244.936
2016-08-01,245.472
2016-09-01,246.127
2016-10-01,246.264
2016-11-01,246.271
2016-12-01,246.795
2017-01-01,247.942
2017-02-01,248.693
2017-03-01,248.978
2017-04-01,249.514
2017-05-01,250.376
2017-06-01,251.629
2017-07-01,251.870
2017-08-01,252.615
2017-09-01,252.984
2017-10-01,253.125
2017-11-01,253.177
2017-12-01,253.845
2018-01-01,254.857
2018-02-01,255.713
2018-03-01,256.388
2018-04-01,256.969
2018-05-01,257.907
2018-06-01,258.710
2018-07-01,259.268
2018-08-01,259.884
2018-09-01,259.941
2018-10-01,260.268
2018-11-01,260.473
2018-12-01,261.360
2019-01-01,262.284
2019-02-01,263.057
2019-03-01,263.886
2019-04-01,264.452
2019-05-01,265.137
2019-06-01,266.461
2019-07-01,267.101
2019-08-01,267.263
2019-09-01,267.822
2019-10-01,267.794
2019-11-01,267.925
2019-12-01,268.236
2020-01-01,269.468
2020-02-01,270.281
2020-03-01,270.273
2020-04-01,270.184
2020-05-01,270.823
2020-06-01,271.831
2020-07-01,272.445
2020-08-01,272.866
2020-09-01,273.116
2020-10-01,273.014
2020-11-01,273.290
2020-12-01,273.684
2021-01-01,274.336
2021-02-01,275.137
2021-03-01,276.028
