DATE,CSUSHPISA
01-01-2002,117.144
01-02-2002,117.844
01-03-2002,118.687
01-04-2002,119.61
01-05-2002,120.724
01-06-2002,121.813
01-07-2002,122.888
01-08-2002,123.83
01-09-2002,124.78
01-10-2002,125.734
01-11-2002,126.669
01-12-2002,127.623
01-01-2003,128.461
01-02-2003,129.356
01-03-2003,130.148
01-04-2003,130.884
01-05-2003,131.734
01-06-2003,132.649
01-07-2003,133.777
01-08-2003,134.968
01-09-2003,136.294
01-10-2003,137.532
01-11-2003,138.794
01-12-2003,140.18
01-01-2004,141.647
01-02-2004,143.192
01-03-2004,145.059
01-04-2004,146.593
01-05-2004,148.185
01-06-2004,149.85
01-07-2004,151.337
01-08-2004,152.633
01-09-2004,154.178
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.329
01-01-2005,161.287
01-02-2005,163.343
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.35
01-06-2005,171.19
01-07-2005,172.86
01-08-2005,174.443
01-09-2005,176.437
01-10-2005,178.027
01-11-2005,179.68
01-12-2005,180.909
01-01-2006,182.32
01-02-2006,183.287
01-03-2006,184.364
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.066
01-08-2006,182.594
01-09-2006,182.797
01-10-2006,183.197
01-11-2006,183.608
01-12-2006,184.138
01-01-2007,184.517
01-02-2007,184.598
01-03-2007,184.15
01-04-2007,183.01
01-05-2007,181.6
01-06-2007,180.253
01-07-2007,179.11
01-08-2007,178.116
01-09-2007,177.557
01-10-2007,176.623
01-11-2007,175.146
01-12-2007,174.341
01-01-2008,173.131
01-02-2008,171.54
01-03-2008,170.051
01-04-2008,168.336
01-05-2008,166.658
01-06-2008,165.016
01-07-2008,163.565
01-08-2008,161.987
01-09-2008,160.307
01-10-2008,158.326
01-11-2008,156.141
01-12-2008,153.618
01-01-2009,151.506
01-02-2009,150.014
01-03-2009,148.66
01-04-2009,147.948
01-05-2009,147.693
01-06-2009,148.089
01-07-2009,148.408
01-08-2009,148.277
01-09-2009,148.024
01-10-2009,147.849
01-11-2009,148.135
01-12-2009,147.929
01-01-2010,147.396
01-02-2010,145.632
01-03-2010,145.858
01-04-2010,146.403
01-05-2010,146.394
01-06-2010,145.72
01-07-2010,144.99
01-08-2010,143.914
01-09-2010,143.018
01-10-2010,142.528
01-11-2010,142.169
01-12-2010,142.056
01-01-2011,141.518
01-02-2011,140.347
01-03-2011,139.978
01-04-2011,140.008
01-05-2011,139.904
01-06-2011,139.86
01-07-2011,139.729
01-08-2011,139.307
01-09-2011,138.667
01-10-2011,137.951
01-11-2011,137.151
01-12-2011,136.673
01-01-2012,136.608
01-02-2012,136.533
01-03-2012,137.904
01-04-2012,139.154
01-05-2012,140.154
01-06-2012,141.029
01-07-2012,141.669
01-08-2012,142.279
01-09-2012,142.907
01-10-2012,143.6
01-11-2012,144.583
01-12-2012,145.5
01-01-2013,146.825
01-02-2013,147.783
01-03-2013,149.962
01-04-2013,151.517
01-05-2013,152.848
01-06-2013,154.198
01-07-2013,155.601
01-08-2013,156.962
01-09-2013,158.224
01-10-2013,159.24
01-11-2013,160.074
01-12-2013,160.994
01-01-2014,161.926
01-02-2014,162.525
01-03-2014,163.085
01-04-2014,163.392
01-05-2014,163.659
01-06-2014,164.06
01-07-2014,164.574
01-08-2014,165.214
01-09-2014,165.904
01-10-2014,166.641
01-11-2014,167.334
01-12-2014,168.049
01-01-2015,168.633
01-02-2015,169.128
01-03-2015,169.798
01-04-2015,170.297
01-05-2015,170.881
01-06-2015,171.467
01-07-2015,172.128
01-08-2015,172.937
01-09-2015,173.828
01-10-2015,174.791
01-11-2015,175.737
01-12-2015,176.54
01-01-2016,177.27
01-02-2016,177.646
01-03-2016,178.162
01-04-2016,178.764
01-05-2016,179.428
01-06-2016,180.079
01-07-2016,180.825
01-08-2016,181.848
01-09-2016,182.821
01-10-2016,183.747
01-11-2016,184.756
01-12-2016,185.718
01-01-2017,186.801
01-02-2017,187.313
01-03-2017,187.991
01-04-2017,188.723
01-05-2017,189.615
01-06-2017,190.507
01-07-2017,191.445
01-08-2017,192.661
01-09-2017,193.755
01-10-2017,194.799
01-11-2017,195.947
01-12-2017,197.163
01-01-2018,198.305
01-02-2018,199.226
01-03-2018,199.965
01-04-2018,200.661
01-05-2018,201.427
01-06-2018,202.232
01-07-2018,202.907
01-08-2018,203.684
01-09-2018,204.343
01-10-2018,205.103
01-11-2018,205.656
01-12-2018,206.138
01-01-2019,206.522
01-02-2019,206.858
01-03-2019,207.074
01-04-2019,207.524
01-05-2019,208.148
01-06-2019,208.65
01-07-2019,209.281
01-08-2019,210.083
01-09-2019,210.892
01-10-2019,211.779
01-11-2019,212.77
01-12-2019,213.911
01-01-2020,214.971
01-02-2020,215.865
01-03-2020,216.415
01-04-2020,216.823
01-05-2020,216.992
01-06-2020,217.612
01-07-2020,219.373
01-08-2020,222.372
01-09-2020,225.821
01-10-2020,229.747
01-11-2020,233.183
01-12-2020,236.453
01-01-2021,239.52
01-02-2021,242.365
01-03-2021,245.478
01-04-2021,249.08
01-05-2021,253.426
01-06-2021,258.346
01-07-2021,262.803
01-08-2021,266.796
01-09-2021,270.343
01-10-2021,273.729
01-11-2021,277.17
01-12-2021,281.291
01-01-2022,285.86
01-02-2022,291.134
01-03-2022,296.446
01-04-2022,300.566
01-05-2022,303.776
01-06-2022,304.693
01-07-2022,303.851
01-08-2022,301.401
01-09-2022,299.313
01-10-2022,298.921
01-11-2022,298.209
01-12-2022,297.346
,
,
,
,
,
,
,
,
,
,
