,Price-index,Year,avg_Eco_policy,UNRATE,con_price_index,monthly_new_house,transportation,population,fedral_rate,govt_subsidies,mortgage,net_housing_value,household_income,avg_sales_price,homeownership_rate,Per_Capita_GDP,Interest_rate
0,117.144,2002.0,123.21387096774193,5.7,174.1,3.8,210.2,180416623.504647,5.98,20.573,6.54,21.094,66360.0,211000.0,67.5,10470.231,6972.0
1,117.844,2002.0,122.26107142857143,5.7,174.7,3.7,212.1,180577730.832361,5.49,24.183,5.83,24.429,65820.0,211200.0,67.7,10599.0,6813.0
2,118.687,2002.0,124.46225806451612,5.7,175.4,3.8,210.0,180636104.798121,5.31,25.93,5.84,26.503,65860.0,207800.0,68.1,10598.02,6289.0
3,119.61,2002.0,105.17433333333332,5.9,175.4,3.9,208.3,180905518.18309096,4.8,27.201,5.87,28.585,65760.0,214200.0,68.0,10660.465,6075.0
4,120.724,2002.0,96.31193548387095,5.8,175.9,4.0,209.3,181014608.335271,4.21,27.651,6.41,31.688,66780.0,227600.0,67.8,10783.5,5841.0
5,121.813,2002.0,70.57433333333333,5.8,177.3,4.2,216.3,181356522.93578,3.97,28.604,6.34,30.683,67520.0,227600.0,67.6,10887.46,5507.0
6,122.888,2002.0,91.89645161290322,5.8,177.6,4.2,216.1,181614328.81665295,3.77,29.512,6.03,37.448,68610.0,219100.0,68.0,10984.04,6034.0
7,123.83,2002.0,80.83741935483872,5.7,178.0,4.4,213.7,181828452.476108,3.65,29.876,5.04,33.461,66280.0,232500.0,68.3,11061.433,5919.0
8,124.78,2002.0,234.57433333333333,5.7,177.4,4.4,212.7,182056480.622264,3.07,32.883,4.69,34.86,65850.0,233100.0,68.0,11174.129,5592.0
9,125.734,2002.0,236.4061290322581,5.7,176.7,4.3,209.1,182236635.463239,2.49,32.669,4.45,34.177,64300.0,241000.0,68.0,11312.766,6159.0
10,126.669,2002.0,154.38666666666666,5.9,176.9,4.1,205.1,182430585.042328,2.09,34.23,3.66,35.134,63350.0,248100.0,68.4,11566.669,5870.0
11,127.623,2002.0,127.57193548387096,6.0,176.9,3.8,204.8,182641878.738253,1.82,33.283,3.98,34.187,63350.0,256000.0,68.6,11772.234,5736.0
12,128.461,2003.0,141.64290322580644,5.8,177.6,4.2,205.8,182566431.891724,1.73,33.213,4.17,34.4,65740.0,262900.0,68.6,11923.447,5768.0
13,129.356,2003.0,86.75392857142857,5.9,178.5,4.0,207.3,182798390.110259,1.74,33.806,3.85,34.456,64900.0,265300.0,69.2,12112.815,5708.0
14,130.148,2003.0,94.42741935483872,5.9,179.1,4.1,207.9,183078312.425159,1.73,34.859,3.65,35.425,68410.0,274000.0,69.0,12305.307,5764.0
15,130.884,2003.0,74.522,6.0,179.5,4.3,209.7,183260453.015323,1.75,37.55,3.99,38.44,70840.0,286300.0,69.2,12527.214,6226.0
16,131.734,2003.0,89.65580645161289,6.1,179.7,4.0,211.9,183508212.496981,1.75,35.771,4.54,38.212,72090.0,288500.0,69.1,12767.286,6247.0
17,132.649,2003.0,87.07466666666666,6.3,180.7,4.2,211.3,183669058.444073,1.75,38.859,3.94,39.685,73030.0,287800.0,68.6,12922.656,6602.0
18,133.777,2003.0,126.56032258064516,6.2,181.2,4.2,209.7,183886883.515181,1.73,40.185,3.11,40.762,78250.0,294600.0,68.8,13142.642,6560.0
19,134.968,2003.0,114.96,6.1,181.7,4.0,209.4,184159563.752198,1.74,44.147,2.96,44.736,76660.0,294200.0,69.0,13324.204,6244.0
20,136.294,2003.0,138.87133333333333,6.1,181.5,3.9,206.5,184422418.039234,1.75,45.299,5.34,46.724,76330.0,305300.0,68.5,13599.16,6215.0
21,137.532,2003.0,113.3432258064516,6.0,181.4,4.0,203.4,184554225.96952,1.75,48.021,6.81,49.767,74580.0,302600.0,68.7,13753.424,6358.0
22,138.794,2003.0,136.548,5.8,181.2,4.0,202.3,184744733.237442,1.34,48.021,6.81,49.767,74580.0,308100.0,69.0,13870.188,6552.0
23,140.18,2003.0,153.67129032258063,5.7,181.1,4.0,203.0,184860046.150508,1.24,48.021,6.81,49.767,74580.0,299600.0,68.9,14039.56,6225.0
24,141.647,2004.0,184.77193548387095,5.7,182.3,4.0,202.2,185635346.37315,1.24,48.021,6.81,49.767,74580.0,322100.0,68.4,14215.651,5872.0
25,143.192,2004.0,192.12321428571428,5.6,183.2,4.5,203.6,185869692.256356,1.26,48.021,6.81,49.767,74580.0,310100.0,68.2,14402.082,6087.0
26,145.059,2004.0,212.56935483870967,5.8,184.3,4.1,206.1,186085118.209936,1.25,48.021,6.81,49.767,74580.0,301200.0,68.2,14564.117,6322.0
27,146.593,2004.0,135.47866666666667,5.6,184.1,4.1,207.2,186470753.987361,1.26,48.021,6.81,49.767,74580.0,305800.0,67.8,14715.058,5841.0
28,148.185,2004.0,116.63935483870968,5.6,184.5,3.9,211.6,186649077.97267705,1.26,48.021,6.81,49.767,74580.0,290400.0,67.8,14706.538,5060.0
29,149.85,2004.0,89.302,5.6,185.3,3.5,214.4,186800679.576504,1.22,48.021,6.81,49.767,74580.0,304200.0,68.1,14865.701,5012.0
30,151.337,2004.0,82.49387096774194,5.5,185.9,3.6,216.7,187066500.33798295,1.01,48.021,6.81,49.767,74580.0,285100.0,67.9,14898.999,5146.0
31,152.633,2004.0,89.77354838709677,5.4,186.1,3.5,213.8,187304009.475925,1.03,48.021,6.81,49.767,74580.0,276600.0,67.5,14608.209,4921.0
32,154.178,2004.0,96.158,5.4,185.8,3.8,211.2,187538981.253475,1.01,48.021,6.81,49.767,74580.0,257000.0,67.3,14430.902,5002.0
33,155.75,2004.0,65.80032258064516,5.5,185.7,3.8,211.3,187738514.819484,1.01,48.021,6.81,49.767,74580.0,273400.0,67.4,14381.236,4884.0
34,157.527,2004.0,61.467,5.4,185.1,4.1,207.9,187972351.58827305,1.0,48.021,6.81,49.767,74580.0,274100.0,67.6,14448.882,4437.0
35,159.329,2004.0,73.56870967741935,5.4,185.1,4.0,205.6,188136094.87789,0.98,48.021,6.81,49.767,74580.0,272900.0,67.2,14651.249,4436.0
36,161.287,2005.0,93.05129032258064,5.3,186.3,3.8,206.3,187688839.482615,1.0,48.021,6.81,49.767,74580.0,275300.0,67.1,14764.61,4847.0
37,163.343,2005.0,83.24655172413793,5.4,187.0,3.7,208.1,187876003.023031,1.01,48.021,6.81,49.767,74580.0,268800.0,66.9,14980.193,4651.0
38,165.812,2005.0,63.19322580645161,5.2,187.9,3.6,209.9,188058175.618794,1.0,48.021,6.81,49.767,74580.0,266000.0,66.9,15141.607,4292.0
39,167.501,2005.0,59.875,5.2,188.4,4.0,211.5,188320660.933455,1.0,48.021,6.81,49.767,74580.0,278000.0,66.5,15309.474,4002.0
40,169.35,2005.0,76.7016129032258,5.1,188.9,3.8,210.7,188475226.058824,1.0,48.021,6.81,49.767,74580.0,268100.0,66.4,15351.448,3922.0
41,171.19,2005.0,79.36333333333333,5.0,190.3,3.9,212.3,188689296.34988895,1.03,48.021,6.81,49.767,74580.0,267600.0,65.9,15557.539,3795.0
42,172.86,2005.0,60.95,5.0,190.9,4.5,214.4,188839779.735266,1.26,48.021,6.81,49.767,74580.0,263000.0,66.3,15647.68,3554.0
43,174.443,2005.0,70.37935483870967,4.9,191.2,4.3,209.7,189070874.198522,1.43,48.021,6.81,49.767,74580.0,259700.0,66.0,15842.259,3359.0
44,176.437,2005.0,75.086,5.0,191.0,4.1,205.3,189216972.380313,1.61,48.021,6.81,49.767,74580.0,278000.0,65.4,16068.805,3497.0
45,178.027,2005.0,102.4748387096774,5.0,191.0,3.9,206.5,189444450.963992,1.76,48.021,6.81,49.767,74580.0,282700.0,65.5,16207.115,3672.0
46,179.68,2005.0,72.18733333333333,5.0,190.8,4.3,208.6,189655307.838414,1.93,48.021,6.81,49.767,74580.0,294500.0,65.5,16319.541,4440.0
47,180.909,2005.0,40.125806451612895,4.9,190.7,4.1,205.4,189811053.36688295,2.16,48.021,6.81,49.767,74580.0,297700.0,65.4,16420.419,4293.0
48,182.32,2006.0,66.99064516129032,4.7,191.8,4.4,204.4,189990144.46577495,2.28,48.021,6.81,49.767,74580.0,307400.0,65.0,16648.189,4365.0
49,183.287,2006.0,63.73035714285714,4.8,192.7,4.3,205.9,190144602.89026895,2.5,48.021,6.81,49.767,74580.0,320400.0,65.0,16728.687,4228.0
50,184.364,2006.0,55.762580645161286,4.7,194.1,4.1,210.1,190460726.509212,2.63,48.021,6.81,49.767,74580.0,324400.0,65.3,16953.838,4135.0
51,184.329,2006.0,66.458,4.7,194.4,4.3,215.0,190466075.803662,2.79,48.021,6.81,49.767,74580.0,334400.0,65.2,17192.019,3964.0
52,184.156,2006.0,73.07419354838709,4.6,194.5,4.2,218.0,190709890.602971,3.0,48.021,6.81,49.767,74580.0,331400.0,64.8,17197.738,3717.0
53,183.507,2006.0,59.68933333333333,4.6,195.5,4.3,222.4,190962474.634275,3.04,48.021,6.81,49.767,74580.0,340600.0,64.7,17518.508,3819.0
54,183.066,2006.0,50.88483870967742,4.7,196.6,4.2,226.1,191114389.968375,3.26,48.021,6.81,49.767,74580.0,340400.0,64.4,17804.228,3947.0
55,182.594,2006.0,56.08838709677419,4.7,196.9,4.5,223.3,191266452.871752,3.5,48.021,6.81,49.767,74580.0,369400.0,64.0,17912.079,3902.0
56,182.797,2006.0,85.24833333333333,4.5,197.0,4.7,220.7,191438220.909398,3.62,48.021,6.81,49.767,74580.0,348000.0,63.7,18063.529,3738.0
57,183.197,2006.0,62.99677419354839,4.4,198.4,4.5,222.7,191655197.459811,3.78,48.021,6.81,49.767,74580.0,339700.0,63.4,18279.784,3589.0
58,183.608,2006.0,48.773,4.5,198.5,5.0,220.8,191932856.777771,4.0,48.021,6.81,49.767,74580.0,347400.0,63.7,18401.626,3446.0
59,184.138,2006.0,60.02741935483871,4.4,198.3,4.9,217.6,192145684.546109,4.16,48.021,6.81,49.767,74580.0,366700.0,63.8,18435.137,3842.0
60,184.517,2007.0,63.64354838709677,4.6,200.0,5.3,219.9,192351175.115582,4.29,48.021,6.81,49.767,74580.0,357000.0,63.5,18525.933,4173.0
61,184.598,2007.0,59.09428571428571,4.5,200.5,6.1,221.3,192542751.521493,4.49,48.021,6.81,49.767,74580.0,357900.0,62.9,18711.702,3980.0
62,184.15,2007.0,51.51064516129032,4.4,201.3,5.9,222.6,192688879.143996,4.59,48.021,6.81,49.767,74580.0,358800.0,63.5,18892.639,3884.0
63,183.01,2007.0,69.783,4.5,201.7,6.3,225.3,192814750.630729,4.79,48.021,6.81,49.767,74580.0,364900.0,63.7,19089.379,3922.0
64,181.6,2007.0,67.51516129032258,4.4,202.2,6.2,229.2,192912759.185218,4.94,48.021,6.81,49.767,74580.0,374800.0,63.6,19280.084,4282.0
65,180.253,2007.0,67.88633333333333,4.6,203.7,6.3,234.3,193147767.04692295,4.99,48.021,6.81,49.767,74580.0,376900.0,63.7,19438.643,4545.0
66,179.11,2007.0,74.71290322580644,4.7,204.7,7.3,237.4,193315277.68087,5.24,48.021,6.81,49.767,74580.0,373200.0,63.9,19692.595,4567.0
67,178.116,2007.0,71.14838709677419,4.6,205.1,6.7,234.3,193456234.309971,5.25,48.021,6.81,49.767,74580.0,399700.0,64.2,20037.088,4785.0
68,177.557,2007.0,39.139,4.7,205.0,6.7,229.5,193556767.582028,5.25,48.021,6.81,49.767,74580.0,374600.0,64.2,20328.553,4374.0
69,176.623,2007.0,42.93870967741936,4.7,204.4,7.3,226.9,193703230.089313,5.25,48.021,6.81,49.767,74580.0,378400.0,64.3,20580.912,4011.0
70,175.146,2007.0,50.216,4.7,204.5,6.6,220.4,193949729.62242305,5.25,48.021,6.81,49.767,74580.0,392900.0,64.4,20798.73,3658.0
71,174.341,2007.0,38.20903225806452,5.0,204.8,6.5,217.8,194181587.897399,5.24,48.021,6.81,49.767,74580.0,384000.0,64.8,20917.867,3700.0
72,173.131,2008.0,56.95483870967742,5.0,206.057,7.2,221.403,194951758.751848,5.25,48.021,6.81,49.767,74580.0,375500.0,64.2,21104.133,3522.0
73,171.54,2008.0,58.37785714285714,4.9,207.177,7.9,224.061,195126741.73179305,5.26,48.021,6.81,49.767,74580.0,376700.0,64.1,21384.775,3239.0
74,170.051,2008.0,54.72451612903225,5.1,208.08,7.9,225.893,195232594.445134,5.26,48.021,6.81,49.767,74580.0,382700.0,64.8,21694.282,2947.0
75,168.336,2008.0,44.371,5.0,208.541,7.4,227.567,195285473.944645,5.25,48.021,6.81,49.767,74580.0,384600.0,65.1,21902.39,2752.0
